PARAMETER,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Mean
PRECTOTCORR_SUM,25.25,-12.25,147.66,99.14,108.63,27.95,41.13,51.15,34.28,297.42,513.11,420.82,112.85,148.71,2002.85,166.90416666666664
PRECTOTCORR_SUM,25.25,-12.75,198.28,108.63,129.73,34.28,56.95,64.86,29.0,303.75,569.0,438.75,135.0,167.7,2235.94,186.3275
PRECTOTCORR_SUM,25.25,-13.25,216.21,110.21,142.91,45.35,64.34,71.19,16.88,306.39,492.01,489.37,138.69,199.34,2292.89,191.07416666666668
PRECTOTCORR_SUM,25.25,-13.75,174.02,129.2,145.02,58.01,36.91,39.55,0.0,171.39,266.31,432.42,134.47,205.66,1792.97,149.41333333333333
PRECTOTCORR_SUM,25.25,-14.25,186.68,124.98,174.55,58.01,26.37,12.13,12.66,156.62,226.23,288.98,115.49,203.55,1586.25,132.1875
PRECTOTCORR_SUM,25.25,-14.75,210.41,130.25,181.93,70.66,30.06,2.11,23.73,135.53,217.79,210.41,110.74,215.68,1539.32,128.275
PRECTOTCORR_SUM,25.25,-15.25,228.34,130.25,174.55,80.16,37.44,3.16,31.11,111.27,215.68,169.28,108.63,230.45,1520.33,126.69333333333333
PRECTOTCORR_SUM,25.25,-15.75,239.41,123.93,158.73,82.27,38.5,8.96,30.59,88.07,201.45,147.66,104.94,243.11,1467.6,122.30166666666669
PRECTOTCORR_SUM,25.25,-16.25,258.4,123.93,139.75,84.38,23.73,13.18,15.82,71.19,163.48,137.11,102.83,255.76,1389.55,115.79666666666664
PRECTOTCORR_SUM,25.25,-16.75,300.59,138.69,135.53,80.16,42.71,13.18,11.6,90.18,157.15,137.11,121.82,281.07,1509.79,125.81583333333332
PRECTOTCORR_SUM,25.25,-7.25,81.21,46.93,64.34,29.0,30.59,16.35,19.51,166.11,301.11,303.75,101.25,55.37,1215.53,101.29333333333334
PRECTOTCORR_SUM,25.25,-7.75,76.99,53.26,58.01,19.51,35.86,14.24,11.07,159.79,289.51,288.98,83.32,55.37,1145.92,95.49249999999999
PRECTOTCORR_SUM,25.25,-8.25,72.77,62.23,49.04,13.71,33.22,15.29,8.96,163.48,275.8,302.7,72.25,68.03,1137.48,94.79
PRECTOTCORR_SUM,25.25,-8.75,68.55,47.46,44.82,15.82,29.0,13.18,13.18,152.93,271.58,268.95,65.92,55.37,1046.78,87.23
PRECTOTCORR_SUM,25.25,-9.25,72.77,66.45,55.37,9.49,24.79,13.18,15.29,159.26,322.21,294.26,78.57,82.79,1194.43,99.53583333333331
PRECTOTCORR_SUM,25.25,-9.75,75.41,74.36,54.84,11.07,26.89,13.18,17.4,175.08,341.19,329.06,105.47,107.05,1331.02,110.91666666666667
PRECTOTCORR_SUM,25.75,-10.25,82.27,72.25,60.64,26.37,33.22,18.98,15.29,143.44,371.25,340.14,132.36,141.33,1437.54,119.795
PRECTOTCORR_SUM,25.75,-10.75,109.69,90.18,91.23,34.8,41.66,31.64,16.35,157.15,392.34,363.87,142.38,168.75,1640.04,136.67
PRECTOTCORR_SUM,25.75,-11.25,168.75,123.93,150.29,36.91,50.1,31.64,7.91,174.02,432.42,363.87,163.48,158.2,1861.52,155.1266666666667
PRECTOTCORR_SUM,25.75,-11.75,145.55,119.71,106.0,36.91,47.99,35.86,14.24,233.09,411.33,406.05,150.82,164.53,1872.07,156.00666666666666
PRECTOTCORR_SUM,25.75,-12.25,199.86,145.55,145.55,35.33,52.21,38.5,15.82,230.45,451.93,391.29,172.97,167.7,2047.15,170.5966666666667
PRECTOTCORR_SUM,25.75,-12.75,245.21,163.48,185.62,45.88,59.59,52.21,13.71,208.3,444.55,414.49,191.95,195.12,2220.12,185.0091666666667
PRECTOTCORR_SUM,25.75,-13.25,245.21,167.17,190.37,65.92,60.64,63.28,8.44,174.02,351.21,457.73,190.37,235.72,2210.1,184.17333333333332
PRECTOTCORR_SUM,25.75,-13.75,213.57,181.93,171.39,76.46,39.55,31.64,0.0,100.2,205.66,390.23,171.39,239.94,1821.97,151.83
PRECTOTCORR_SUM,25.75,-14.25,238.89,177.71,169.28,68.03,26.89,10.55,4.22,85.43,167.7,251.02,152.4,244.16,1596.27,133.02333333333334
PRECTOTCORR_SUM,25.75,-14.75,259.45,175.08,170.33,81.74,30.06,2.11,13.18,78.57,169.28,173.5,142.91,251.54,1547.75,128.97916666666666
PRECTOTCORR_SUM,25.75,-15.25,267.89,158.2,160.84,98.61,38.5,4.22,19.51,77.52,181.93,140.8,136.58,262.09,1546.7,128.89083333333332
PRECTOTCORR_SUM,25.75,-15.75,267.89,133.95,145.02,109.16,42.19,10.55,17.93,76.99,191.43,136.05,135.53,280.55,1547.23,128.93666666666664
PRECTOTCORR_SUM,25.75,-16.25,274.22,131.84,145.02,113.38,31.64,10.55,5.27,68.55,197.75,142.38,150.29,316.41,1587.3,132.275
PRECTOTCORR_SUM,25.75,-16.75,343.83,152.93,159.79,117.6,46.41,10.55,7.38,102.3,216.74,155.04,188.26,352.27,1853.09,154.42499999999998
PRECTOTCORR_SUM,25.75,-7.25,60.12,56.43,48.52,23.2,22.68,11.6,6.86,106.52,202.5,266.84,98.61,60.64,964.51,80.37666666666667
PRECTOTCORR_SUM,25.75,-7.75,52.73,58.54,42.19,16.88,24.79,10.55,1.58,107.58,188.79,251.02,81.74,49.04,885.41,73.78583333333333
PRECTOTCORR_SUM,25.75,-8.25,51.68,61.7,40.08,11.6,25.31,10.55,0.53,109.69,195.64,233.09,71.72,47.46,859.04,71.5875
PRECTOTCORR_SUM,25.75,-8.75,47.46,55.37,31.64,15.82,21.09,10.55,2.64,105.47,197.75,237.3,63.28,47.46,835.84,69.65249999999999
PRECTOTCORR_SUM,25.75,-9.25,51.68,59.59,42.19,11.6,16.88,8.44,4.75,118.12,277.91,256.29,78.05,58.01,983.5,81.95916666666666
PRECTOTCORR_SUM,25.75,-9.75,65.39,63.81,47.99,16.88,23.73,9.49,10.02,130.78,337.5,299.0,110.21,97.03,1211.84,100.98583333333333
PRECTOTCORR_SUM,26.25,-10.25,126.04,103.36,93.34,28.48,31.64,19.51,14.77,162.95,418.18,377.05,159.26,168.22,1702.79,141.9
PRECTOTCORR_SUM,26.25,-10.75,162.95,121.82,120.76,33.22,39.55,27.95,12.66,147.66,372.3,378.11,171.91,179.3,1768.18,147.34916666666666
PRECTOTCORR_SUM,26.25,-11.25,234.67,176.66,192.48,39.55,39.55,23.73,10.55,137.11,321.68,350.68,216.21,179.3,1922.17,160.1808333333333
PRECTOTCORR_SUM,26.25,-11.75,200.92,161.89,160.84,35.33,39.55,25.84,10.55,183.52,321.68,399.2,209.88,170.86,1920.06,160.005
PRECTOTCORR_SUM,26.25,-12.25,243.11,188.26,197.23,40.61,39.55,29.53,12.13,169.8,316.93,390.76,228.87,182.99,2039.77,169.98083333333335
PRECTOTCORR_SUM,26.25,-12.75,280.02,215.68,239.41,59.59,43.77,41.13,13.18,150.82,271.58,401.31,240.47,218.85,2175.82,181.3175
PRECTOTCORR_SUM,26.25,-13.25,287.4,228.34,252.07,82.27,46.93,47.99,10.55,129.2,191.43,418.18,234.67,267.89,2196.91,183.07666666666668
PRECTOTCORR_SUM,26.25,-13.75,297.95,234.67,226.76,84.38,34.28,18.46,0.0,55.37,123.93,340.14,224.12,305.86,1945.9,162.16
PRECTOTCORR_SUM,26.25,-14.25,316.93,234.67,193.01,73.83,21.62,5.8,2.11,46.93,121.82,243.11,211.46,333.28,1804.57,150.38083333333333
PRECTOTCORR_SUM,26.25,-14.75,324.84,215.68,176.66,87.01,23.2,1.05,8.96,52.73,138.69,182.46,198.81,344.88,1755.0,146.24749999999997
PRECTOTCORR_SUM,26.25,-15.25,309.02,182.99,161.89,111.27,28.48,3.16,12.13,65.39,160.84,159.26,185.1,354.38,1733.91,144.49249999999998
PRECTOTCORR_SUM,26.25,-15.75,282.66,148.71,147.13,131.31,35.33,8.44,8.96,74.88,180.35,164.0,180.88,369.14,1731.8,144.31583333333333
PRECTOTCORR_SUM,26.25,-16.25,284.77,131.84,145.02,129.2,50.1,10.55,2.64,68.55,195.12,176.66,208.3,390.23,1792.97,149.415
PRECTOTCORR_SUM,26.25,-16.75,383.91,178.24,182.99,148.18,58.54,14.77,4.75,112.85,230.98,206.19,284.24,449.3,2254.92,187.91166666666666
PRECTOTCORR_SUM,26.25,-7.25,66.45,76.99,60.64,25.84,23.73,10.55,2.64,113.91,173.5,285.82,126.04,82.79,1048.89,87.40833333333332
PRECTOTCORR_SUM,26.25,-7.75,55.9,68.55,49.04,15.29,22.68,9.49,1.58,107.58,158.73,275.27,109.16,64.86,938.14,78.1775
PRECTOTCORR_SUM,26.25,-8.25,58.01,74.36,52.73,11.6,21.62,7.91,0.53,107.58,177.19,278.96,106.52,68.55,965.57,80.46333333333332
PRECTOTCORR_SUM,26.25,-8.75,47.46,65.92,42.19,15.82,23.73,7.91,2.64,94.92,200.39,255.76,89.65,58.01,904.39,75.36666666666666
PRECTOTCORR_SUM,26.25,-9.25,70.66,74.36,52.73,15.82,19.51,5.8,8.96,109.69,297.42,295.84,114.96,68.55,1134.32,94.52499999999999
PRECTOTCORR_SUM,26.25,-9.75,98.61,90.7,74.36,22.15,23.2,10.02,13.71,148.18,392.87,345.41,143.44,124.98,1487.64,123.96916666666668
PRECTOTCORR_SUM,26.75,-10.25,182.99,175.08,178.24,41.66,32.7,19.51,8.44,176.66,399.73,407.11,237.83,226.76,2086.7,173.8925
PRECTOTCORR_SUM,26.75,-10.75,210.41,183.52,190.37,49.04,33.22,20.57,6.86,141.33,307.97,372.3,234.14,204.61,1954.34,162.86166666666668
PRECTOTCORR_SUM,26.75,-11.25,282.13,242.58,245.21,65.92,29.0,18.46,13.18,126.56,263.67,384.96,263.67,210.94,2146.29,178.85666666666668
PRECTOTCORR_SUM,26.75,-11.75,242.05,238.36,215.68,53.26,33.22,18.46,15.29,149.77,257.34,408.16,267.89,185.63,2085.12,173.7591666666667
PRECTOTCORR_SUM,26.75,-12.25,288.98,256.29,258.93,72.25,35.86,26.37,25.31,138.16,258.93,415.55,302.17,217.27,2296.05,191.33916666666667
PRECTOTCORR_SUM,26.75,-12.75,332.23,278.44,305.33,99.67,43.24,34.8,34.8,123.4,218.85,433.48,325.37,280.55,2510.16,209.17999999999998
PRECTOTCORR_SUM,26.75,-13.25,354.38,292.15,316.93,114.96,47.99,32.7,32.17,100.2,140.27,435.59,327.48,353.85,2548.65,212.38916666666668
PRECTOTCORR_SUM,26.75,-13.75,411.33,290.04,287.4,100.2,29.0,5.27,2.64,26.37,79.1,342.77,329.59,419.24,2322.95,193.57916666666665
PRECTOTCORR_SUM,26.75,-14.25,409.22,296.37,245.21,98.09,24.79,3.16,4.75,30.59,108.63,279.49,312.71,476.19,2289.2,190.76666666666665
PRECTOTCORR_SUM,26.75,-14.75,392.87,264.73,223.59,108.63,30.06,2.64,10.02,50.62,139.75,233.61,281.6,495.18,2233.3,186.10833333333332
PRECTOTCORR_SUM,26.75,-15.25,362.29,219.37,211.99,128.67,39.55,6.86,12.13,71.72,169.28,207.25,254.18,483.57,2166.86,180.5716666666667
PRECTOTCORR_SUM,26.75,-15.75,333.81,179.82,204.08,149.77,52.21,14.24,11.07,83.85,190.37,202.5,246.27,467.75,2135.74,177.97833333333335
PRECTOTCORR_SUM,26.75,-16.25,340.14,160.84,197.75,158.2,71.19,18.46,13.18,81.74,192.48,221.48,271.58,493.07,2220.12,185.0091666666667
PRECTOTCORR_SUM,26.75,-16.75,451.93,236.78,250.49,170.86,96.5,22.68,8.96,134.47,238.89,303.75,366.5,619.63,2901.45,241.78666666666666
PRECTOTCORR_SUM,26.75,-7.25,93.87,131.31,92.81,30.06,32.17,10.55,4.22,127.09,165.59,339.08,176.66,129.73,1333.13,111.09500000000001
PRECTOTCORR_SUM,26.75,-7.75,79.1,114.43,75.94,14.24,31.11,8.44,4.22,114.43,167.7,325.37,151.35,103.36,1189.69,99.14083333333333
PRECTOTCORR_SUM,26.75,-8.25,77.52,129.73,82.27,8.44,26.89,5.27,3.16,108.63,204.61,319.04,148.18,109.69,1223.44,101.9525
PRECTOTCORR_SUM,26.75,-8.75,71.19,89.65,63.28,10.55,29.0,5.27,5.27,110.74,200.39,287.4,129.2,84.38,1086.33,90.52666666666664
PRECTOTCORR_SUM,26.75,-9.25,117.6,125.51,99.14,21.09,24.79,5.27,7.38,136.05,326.95,352.79,179.82,128.67,1525.08,127.08833333333332
PRECTOTCORR_SUM,26.75,-9.75,157.68,161.37,150.82,33.22,28.48,13.18,9.49,175.61,415.55,407.11,224.12,201.45,1978.07,164.84
PRECTOTCORR_SUM,27.25,-10.25,249.43,264.73,269.47,77.52,48.52,24.26,14.24,208.3,352.27,418.18,350.16,297.95,2575.02,214.5858333333333
PRECTOTCORR_SUM,27.25,-10.75,282.13,287.93,286.35,84.9,47.46,21.09,21.09,168.75,267.89,359.12,351.74,262.62,2441.07,203.42249999999999
PRECTOTCORR_SUM,27.25,-11.25,355.96,342.77,334.86,108.11,36.91,21.09,42.19,168.75,253.12,413.96,377.05,279.49,2734.28,227.85500000000002
PRECTOTCORR_SUM,27.25,-11.75,320.1,357.54,301.11,91.23,41.13,21.09,37.97,200.39,227.81,422.4,379.16,252.07,2652.01,221.0
PRECTOTCORR_SUM,27.25,-12.25,355.43,370.72,338.55,115.49,51.68,22.68,65.39,201.97,248.38,452.99,406.58,291.09,2920.96,243.41250000000005
PRECTOTCORR_SUM,27.25,-12.75,381.8,368.61,364.92,135.53,62.23,23.73,72.77,177.71,218.85,463.54,410.8,360.7,3041.19,253.4325
PRECTOTCORR_SUM,27.25,-13.25,392.87,346.46,349.63,133.42,61.17,19.51,45.88,122.87,134.47,431.89,390.23,439.8,2868.22,239.01666666666674
PRECTOTCORR_SUM,27.25,-13.75,456.15,308.5,313.77,118.65,31.64,2.64,7.91,23.73,81.74,355.96,390.23,522.07,2612.99,217.74916666666672
PRECTOTCORR_SUM,27.25,-14.25,466.7,321.15,282.13,122.87,31.64,4.75,10.02,25.84,115.49,296.89,367.03,591.68,2636.19,219.6825
PRECTOTCORR_SUM,27.25,-14.75,437.7,306.91,269.47,136.58,49.04,5.27,10.55,46.93,147.66,247.32,335.92,602.75,2596.11,216.3416666666667
PRECTOTCORR_SUM,27.25,-15.25,410.27,273.16,267.36,148.18,61.7,9.49,10.55,70.14,178.24,226.23,307.44,584.82,2547.6,212.29833333333337
PRECTOTCORR_SUM,27.25,-15.75,408.16,241.52,272.11,155.04,65.92,15.29,12.13,83.32,199.86,238.36,298.48,573.22,2563.42,213.61750000000006
PRECTOTCORR_SUM,27.25,-16.25,437.7,247.85,284.77,163.48,76.46,13.18,18.46,79.1,197.75,274.22,332.23,609.08,2734.28,227.85666666666665
PRECTOTCORR_SUM,27.25,-16.75,541.05,317.46,343.83,176.13,118.65,17.4,12.13,125.51,231.5,407.11,444.02,756.74,3491.54,290.9608333333333
PRECTOTCORR_SUM,27.25,-7.25,129.73,184.04,135.0,35.86,43.77,11.6,3.69,119.18,191.95,406.58,230.45,162.42,1654.28,137.85583333333335
PRECTOTCORR_SUM,27.25,-7.75,107.58,168.22,112.85,22.15,44.82,8.44,3.69,108.63,199.34,388.65,186.15,130.78,1481.31,123.44166666666666
PRECTOTCORR_SUM,27.25,-8.25,93.87,174.55,115.49,15.29,44.82,5.27,4.75,114.43,240.47,358.59,169.8,130.25,1467.6,122.29833333333333
PRECTOTCORR_SUM,27.25,-8.75,89.65,123.93,81.74,13.18,44.82,5.27,2.64,118.65,221.48,358.59,142.38,102.83,1305.18,108.76333333333332
PRECTOTCORR_SUM,27.25,-9.25,157.15,185.1,149.24,34.28,34.28,9.49,6.86,154.51,335.39,423.98,220.43,193.54,1904.24,158.6875
PRECTOTCORR_SUM,27.25,-9.75,213.57,235.2,226.23,61.7,41.13,20.04,11.07,206.19,389.18,456.15,307.97,281.07,2449.51,204.12500000000003
PRECTOTCORR_SUM,27.75,-10.25,265.25,316.41,308.5,82.27,65.39,26.37,11.6,211.99,271.05,365.98,397.62,290.57,2612.99,217.75
PRECTOTCORR_SUM,27.75,-10.75,323.26,373.36,350.16,88.59,63.28,25.84,18.98,194.06,208.3,333.81,449.82,306.91,2736.39,228.03083333333328
PRECTOTCORR_SUM,27.75,-11.25,371.78,411.33,358.59,94.92,42.19,23.73,42.19,179.3,166.11,382.32,456.15,321.68,2850.29,237.52416666666667
PRECTOTCORR_SUM,27.75,-11.75,352.79,426.09,354.38,92.81,50.62,27.95,35.86,229.92,155.57,390.76,462.48,319.57,2898.81,241.5666666666667
PRECTOTCORR_SUM,27.75,-12.25,363.87,417.13,353.32,101.78,55.9,19.51,54.84,215.68,157.68,408.69,456.15,339.61,2944.16,245.3466666666667
PRECTOTCORR_SUM,27.75,-12.75,367.03,379.16,336.45,109.16,60.12,12.13,52.73,173.5,142.91,396.04,410.8,374.41,2814.43,234.53666666666666
PRECTOTCORR_SUM,27.75,-13.25,364.92,328.01,306.91,108.11,56.43,8.96,25.31,114.96,110.74,348.57,351.21,420.82,2544.96,212.07916666666668
PRECTOTCORR_SUM,27.75,-13.75,400.78,300.59,290.04,97.56,29.0,2.64,10.55,26.37,89.65,297.95,353.32,479.88,2378.32,198.19416666666666
PRECTOTCORR_SUM,27.75,-14.25,419.77,315.35,271.05,108.11,29.0,4.75,10.55,24.26,112.85,259.98,336.45,549.49,2441.6,203.46749999999997
PRECTOTCORR_SUM,27.75,-14.75,408.69,317.46,278.96,124.98,46.41,5.27,8.96,36.39,139.22,226.76,329.06,579.55,2501.72,208.47583333333333
PRECTOTCORR_SUM,27.75,-15.25,411.86,314.3,293.73,134.47,55.9,6.33,6.86,49.04,160.31,225.7,330.12,602.75,2591.37,215.9475
PRECTOTCORR_SUM,27.75,-15.75,445.61,322.73,309.02,133.95,55.37,6.86,5.8,55.37,168.75,262.09,345.41,639.67,2750.62,229.21916666666664
PRECTOTCORR_SUM,27.75,-16.25,498.34,369.14,332.23,131.84,65.92,2.64,7.91,55.37,158.2,319.04,387.6,698.73,3026.95,252.24666666666667
PRECTOTCORR_SUM,27.75,-16.75,591.15,426.09,401.84,167.7,89.12,6.86,7.91,91.23,181.41,426.62,507.83,804.2,3701.95,308.49666666666667
PRECTOTCORR_SUM,27.75,-7.25,127.62,197.23,145.55,35.33,51.68,13.71,1.05,90.7,213.57,390.76,219.37,132.89,1619.47,134.955
PRECTOTCORR_SUM,27.75,-7.75,102.3,184.57,123.4,26.89,54.84,8.44,1.05,84.38,212.52,387.6,179.3,112.85,1478.14,123.17833333333333
PRECTOTCORR_SUM,27.75,-8.25,89.65,165.06,127.09,24.26,56.43,5.27,2.11,91.23,219.38,356.48,157.68,111.27,1405.9,117.15916666666668
PRECTOTCORR_SUM,27.75,-8.75,89.65,150.29,97.56,26.37,50.1,5.27,0.0,87.01,221.48,390.23,134.47,92.29,1344.73,112.06
PRECTOTCORR_SUM,27.75,-9.25,148.71,184.04,154.51,34.8,43.77,9.49,4.22,124.98,265.78,409.22,195.64,166.11,1741.29,145.10583333333332
PRECTOTCORR_SUM,27.75,-9.75,206.19,247.85,236.78,62.23,54.84,20.04,8.44,186.68,294.26,402.89,302.7,243.11,2266.0,188.83416666666665
PRECTOTCORR_SUM,28.25,-10.25,298.48,391.29,351.21,78.57,84.38,29.0,5.27,172.44,175.08,332.75,478.83,333.28,2730.59,227.54833333333332
PRECTOTCORR_SUM,28.25,-10.75,341.72,435.59,384.43,84.38,69.08,26.37,6.33,155.04,121.82,307.44,534.2,368.09,2834.47,236.20749999999998
PRECTOTCORR_SUM,28.25,-11.25,369.14,416.6,340.14,63.28,39.55,15.82,10.55,110.74,60.64,313.77,477.25,374.41,2591.89,215.9908333333333
PRECTOTCORR_SUM,28.25,-11.75,339.61,414.49,331.7,67.5,45.88,20.04,10.55,133.95,66.97,326.43,473.03,363.87,2594.0,216.16833333333332
PRECTOTCORR_SUM,28.25,-12.25,360.7,390.23,313.77,73.3,39.55,13.18,10.55,104.94,55.9,320.1,446.66,388.13,2517.01,209.75083333333336
PRECTOTCORR_SUM,28.25,-12.75,368.09,346.99,297.95,84.9,36.39,5.8,8.44,73.3,60.12,307.44,391.82,414.49,2395.72,199.64416666666668
PRECTOTCORR_SUM,28.25,-13.25,348.57,305.86,286.35,95.45,37.44,2.64,5.8,54.84,83.85,290.57,331.17,426.09,2268.63,189.0525
PRECTOTCORR_SUM,28.25,-13.75,340.14,305.86,271.58,87.01,29.0,2.64,7.91,31.64,102.83,261.04,316.41,421.88,2177.93,181.495
PRECTOTCORR_SUM,28.25,-14.25,361.23,339.61,269.47,110.21,24.79,2.64,3.69,25.31,96.5,267.36,331.17,504.14,2336.13,194.67666666666665
PRECTOTCORR_SUM,28.25,-14.75,391.82,359.12,297.42,131.84,31.64,2.64,4.22,33.22,113.91,267.36,342.77,573.75,2549.71,212.47583333333338
PRECTOTCORR_SUM,28.25,-15.25,451.93,389.71,324.84,145.55,36.91,1.58,4.22,36.39,126.56,285.29,371.25,645.47,2819.71,234.975
PRECTOTCORR_SUM,28.25,-15.75,530.51,450.35,349.63,153.98,40.61,1.05,2.11,32.7,124.98,329.06,422.4,731.95,3169.34,264.11083333333335
PRECTOTCORR_SUM,28.25,-16.25,585.35,553.71,398.14,168.75,55.37,5.27,0.0,36.91,118.65,390.23,487.79,843.75,3643.95,303.66
PRECTOTCORR_SUM,28.25,-16.75,716.13,625.43,486.74,208.83,61.7,7.38,4.22,64.34,137.64,453.52,639.67,942.89,4348.48,362.37416666666667
PRECTOTCORR_SUM,28.25,-7.25,106.52,204.08,139.75,30.59,46.93,12.13,0.0,58.01,198.28,301.64,190.9,116.54,1405.37,117.11416666666666
PRECTOTCORR_SUM,28.25,-7.75,85.43,185.1,119.71,22.15,51.15,6.86,0.0,50.62,191.95,305.86,178.24,108.11,1305.18,108.76499999999997
PRECTOTCORR_SUM,28.25,-8.25,81.21,152.4,133.42,23.73,52.21,4.75,0.0,47.99,179.3,300.06,166.64,112.85,1254.55,104.54666666666667
PRECTOTCORR_SUM,28.25,-8.75,89.65,160.84,118.65,23.73,50.1,2.64,0.0,50.1,179.3,308.5,158.2,100.2,1241.89,103.4925
PRECTOTCORR_SUM,28.25,-9.25,127.62,192.48,173.5,32.17,50.1,4.75,0.0,85.96,170.86,323.26,204.61,148.71,1514.0,126.16833333333334
PRECTOTCORR_SUM,28.25,-9.75,219.38,295.31,267.89,56.43,73.83,19.51,3.16,143.96,187.73,341.19,345.94,251.02,2205.35,183.7791666666667
PRECTOTCORR_SUM,28.75,-10.25,448.77,548.44,483.57,143.44,102.83,38.5,14.77,145.02,129.73,391.29,692.4,558.98,3697.73,308.145
PRECTOTCORR_SUM,28.75,-10.75,427.15,516.27,428.73,100.72,70.14,24.79,11.6,99.67,78.05,325.9,656.54,521.54,3261.09,271.7583333333333
PRECTOTCORR_SUM,28.75,-11.25,448.24,450.88,361.23,81.74,34.28,7.91,5.27,44.82,42.19,311.13,551.07,529.98,2868.75,239.0616666666667
PRECTOTCORR_SUM,28.75,-11.75,435.59,463.54,350.68,77.52,38.5,5.8,5.27,42.71,46.41,332.23,551.07,506.78,2856.09,238.00833333333335
PRECTOTCORR_SUM,28.75,-12.25,437.17,425.57,335.39,90.7,28.48,3.69,5.27,27.95,42.71,323.26,500.45,526.29,2746.93,228.91083333333336
PRECTOTCORR_SUM,28.75,-12.75,412.91,378.11,314.3,106.52,30.59,1.58,4.22,26.89,55.37,311.66,421.35,531.56,2595.06,216.255
PRECTOTCORR_SUM,28.75,-13.25,363.34,344.36,293.2,117.07,42.71,1.05,3.16,39.55,88.07,310.61,346.46,508.36,2457.95,204.82833333333335
PRECTOTCORR_SUM,28.75,-13.75,329.59,329.59,284.77,121.29,34.28,5.27,5.27,39.55,123.93,319.04,319.04,485.16,2396.78,199.73166666666665
PRECTOTCORR_SUM,28.75,-14.25,369.67,403.42,322.73,148.71,30.06,3.16,3.16,39.55,104.94,348.57,399.2,607.5,2780.68,231.7225
PRECTOTCORR_SUM,28.75,-14.75,454.04,464.59,370.2,179.3,30.59,2.64,7.38,45.88,103.36,354.38,436.64,706.11,3155.1,262.92583333333334
PRECTOTCORR_SUM,28.75,-15.25,562.68,533.14,410.27,203.55,31.64,4.75,9.49,45.88,106.52,370.2,485.16,807.36,3570.64,297.55333333333334
PRECTOTCORR_SUM,28.75,-15.75,681.33,629.12,454.04,226.23,36.39,9.49,6.33,37.97,110.74,415.02,575.33,933.93,4115.92,342.99333333333334
PRECTOTCORR_SUM,28.75,-16.25,801.56,772.56,540.53,266.31,55.37,15.82,0.0,31.64,121.29,493.07,714.55,1104.79,4917.48,409.7908333333333
PRECTOTCORR_SUM,28.75,-16.75,1020.94,901.23,679.75,321.15,82.79,15.82,4.22,61.17,163.48,566.89,889.63,1252.44,5959.51,496.62583333333333
PRECTOTCORR_SUM,28.75,-7.25,121.29,225.7,184.04,53.79,40.61,9.49,0.0,39.55,182.99,262.09,223.07,158.73,1501.35,125.1125
PRECTOTCORR_SUM,28.75,-7.75,93.87,195.12,161.89,33.75,42.71,5.27,1.05,32.17,170.33,250.49,213.57,150.29,1350.53,112.5425
PRECTOTCORR_SUM,28.75,-8.25,94.39,172.44,175.08,29.0,46.93,4.22,2.11,35.86,164.53,254.71,212.52,162.95,1354.75,112.895
PRECTOTCORR_SUM,28.75,-8.75,102.83,176.66,158.2,29.0,44.82,0.0,0.0,31.64,147.66,239.94,208.3,150.29,1289.36,107.445
PRECTOTCORR_SUM,28.75,-9.25,214.63,313.77,297.42,94.39,68.03,6.33,4.22,75.94,143.44,332.75,368.61,323.26,2242.79,186.89916666666667
PRECTOTCORR_SUM,28.75,-9.75,377.05,474.61,438.22,145.55,100.72,30.06,11.6,134.47,151.88,401.84,582.71,497.81,3346.52,278.87666666666667
PRECTOTCORR_SUM,29.25,-10.25,627.01,728.79,651.27,247.85,114.43,30.06,15.29,118.65,118.13,493.07,935.51,850.61,4930.66,410.88916666666665
PRECTOTCORR_SUM,29.25,-10.75,527.34,585.35,478.3,125.51,68.55,13.18,9.49,68.03,63.81,369.14,764.65,704.53,3777.89,314.8233333333333
PRECTOTCORR_SUM,29.25,-11.25,527.34,511.52,387.6,110.74,36.91,2.64,5.27,23.73,55.37,379.69,638.09,696.09,3375.0,281.24916666666667
PRECTOTCORR_SUM,29.25,-11.75,533.67,528.4,400.25,112.85,41.13,0.53,5.27,17.4,51.15,400.78,667.62,681.33,3440.39,286.6983333333333
PRECTOTCORR_SUM,29.25,-12.25,514.69,486.74,379.69,122.87,37.44,0.0,5.27,17.4,56.43,399.73,599.06,685.55,3304.86,275.4058333333334
PRECTOTCORR_SUM,29.25,-12.75,468.28,439.28,345.94,135.53,51.15,1.05,5.27,30.06,79.63,397.62,498.87,677.11,3129.79,260.81583333333333
PRECTOTCORR_SUM,29.25,-13.25,411.33,410.27,319.57,152.4,72.77,3.16,6.33,49.04,113.38,405.0,419.77,650.21,3013.24,251.1025
PRECTOTCORR_SUM,29.25,-13.75,379.69,395.51,321.68,181.93,58.01,5.27,10.55,55.37,134.47,421.88,400.78,624.9,2990.04,249.17000000000004
PRECTOTCORR_SUM,29.25,-14.25,430.31,481.99,393.4,203.03,51.68,9.49,12.66,61.7,121.82,428.2,497.81,747.25,3439.34,286.6116666666666
PRECTOTCORR_SUM,29.25,-14.75,539.47,568.48,457.21,230.45,53.26,10.55,14.77,75.94,113.91,428.2,560.04,847.44,3899.71,324.97666666666663
PRECTOTCORR_SUM,29.25,-15.25,662.87,661.29,515.21,259.98,53.26,13.71,13.71,74.88,119.18,448.24,631.76,964.51,4418.61,368.2166666666667
