PARAMETER,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Mean
PRECTOTCORR_SUM,21.75,-8.75,2.64,5.27,7.91,0.0,10.55,18.46,44.82,197.75,187.21,31.64,10.55,50.1,566.89,47.24166666666667
PRECTOTCORR_SUM,21.75,-9.25,6.86,13.71,12.13,2.11,4.22,18.46,27.95,155.57,227.29,65.39,12.66,54.32,600.64,50.05583333333333
PRECTOTCORR_SUM,21.75,-9.75,11.07,12.66,11.6,1.05,4.22,20.04,25.31,157.68,242.05,103.89,11.6,49.04,650.21,54.18416666666667
PRECTOTCORR_SUM,22.25,-10.25,36.91,24.26,16.35,0.0,11.07,25.84,26.37,187.73,317.46,157.15,17.4,43.24,863.79,71.98166666666667
PRECTOTCORR_SUM,22.25,-10.75,35.86,20.57,14.77,0.0,7.38,21.62,17.93,175.61,347.52,173.5,26.89,31.64,873.28,72.77416666666666
PRECTOTCORR_SUM,22.25,-11.25,31.64,18.46,21.09,0.0,5.27,23.73,15.82,171.39,429.79,245.21,39.55,42.19,1044.14,87.01166666666667
PRECTOTCORR_SUM,22.25,-11.75,27.42,22.68,21.09,0.0,7.38,32.17,13.71,171.39,393.93,257.87,41.66,33.75,1023.05,85.25416666666666
PRECTOTCORR_SUM,22.25,-12.25,40.61,25.31,29.0,0.0,4.75,39.02,17.93,169.8,422.93,281.6,40.61,45.88,1117.44,93.12
PRECTOTCORR_SUM,22.25,-12.75,57.48,28.48,33.22,1.05,1.58,46.41,26.37,181.41,427.15,310.08,42.71,57.48,1213.42,101.11833333333334
PRECTOTCORR_SUM,22.25,-13.25,65.39,30.59,31.64,2.64,1.58,49.57,33.75,211.46,400.25,334.34,45.35,56.43,1262.99,105.24916666666667
PRECTOTCORR_SUM,22.25,-13.75,52.73,26.37,31.64,2.64,7.91,36.91,31.64,255.76,419.24,342.77,36.91,39.55,1284.08,107.00583333333333
PRECTOTCORR_SUM,22.25,-14.25,54.84,51.68,18.98,2.64,14.24,34.8,33.75,272.64,444.55,357.54,26.37,52.21,1364.24,113.68666666666667
PRECTOTCORR_SUM,22.25,-14.75,64.86,67.5,23.73,2.64,20.57,35.86,23.2,253.13,455.62,370.72,18.98,64.86,1401.68,116.80583333333333
